Категория;Наименование;Цена;Ссылка
Готовая еда;Суп РЕСТО ШИК из печеных томатов с креветками, 270г;262.49 ₽;https://lenta.com/product/sup-iz-pechenyh-tomatov-s-krevetkami-rossiya-270g-896529/
Готовая еда;Плов По-ташкентски, 300г;309.99 ₽;https://lenta.com/product/plov-po-tashkentski-rossiya-300g-721586/
Готовая еда;Пирог ЛЕНТА FRESH Сметанник, 390г;219.99 ₽;https://lenta.com/product/pirog-smetannik-sp-rossiya-390g-666944/
Готовая еда;Сырники ЛЕНТА FRESH Домашние, весовые;160.00 ₽;https://lenta.com/product/syrniki-domashnie-ves-rossiya-360047/
Готовая еда;Салат ЛЕНТА FRESH Сельдь под шубой классический, весовой;150.00 ₽;https://lenta.com/product/salat-seld-pod-shubojj-klassicheskijj-ves-rossiya-11404/
Готовая еда;Пирог ЛЕНТА FRESH с капустой, весовой;274.99 ₽;https://lenta.com/product/pirog-lenta-s-kapustojj-ves-sp-rossiya-141209/
Готовая еда;Удон ЛЕНТА FRESH с креветкой в устричном соусе, 240г;275.39 ₽;https://lenta.com/product/udon-s-krevetkojj-v-ustrichnom-souse-lenta-rossiya-240g-432273/
Готовая еда;Котлеты куриные ЛЕНТА FRESH, 200г;219.99 ₽;https://lenta.com/product/kotlety-kurinye-rossiya-200g-745643/
Готовая еда;Салат ЛЕНТА FRESH Провансаль с томленой говядиной и маринованными огурчиками, весовой;294.00 ₽;https://lenta.com/product/salat-s-tomljnojj-govyadinojj-i-marinovannymi-ogurchikami-ves-rossiya-60923/
Готовая еда;Салат ЛЕНТА FRESH По-восточному из капусты с куркумой, 200г;104.99 ₽;https://lenta.com/product/salat-kapusta-po-vostochnomu-s-kurkumojj-rossiya-200g-524601/
Готовая еда;Напиток Смузи банан-клубника-базилик безалкогольный, негазированный ЛЕНТА FRESH, 300мл;127.99 ₽;https://lenta.com/product/napitok-ba-negaz-smuzi-banan-klubnika-bazilik-rossiya-300ml-744534/
Готовая еда;Треска ЛЕНТА FRESH с овощами, весовая;360.00 ₽;https://lenta.com/product/treska-s-ovoshchami-ves-rossiya-377132/
Готовая еда;Салат ЛЕНТА FRESH Крабовый, весовой;141.00 ₽;https://lenta.com/product/salat-krabovyjj-ves-rossiya-11296/
Готовая еда;Салат ЛЕНТА FRESH Фреш с куриной грудкой, 150г;189.99 ₽;https://lenta.com/product/salat-fresh-s-kurinojj-grudkojj-rossiya-150g-686191/
Готовая еда;Антипасти BURENKA CLUB Томаты вяленые с мягким сыром в масле, 280г;389.99 ₽;https://lenta.com/product/antipasti-tomaty-vyalenye-s-myagkim-syrom-v-masle-rossiya-280g-728825/
Готовая еда;Салат ЛЕНТА FRESH Свекла с чесноком, весовой;120.00 ₽;https://lenta.com/product/salat-svekla-s-chesnokom-vesovojj-rossiya-11406/
Готовая еда;Филе горбуши под сыром;300.00 ₽;https://lenta.com/product/file-gorbushi-pod-syrom-rossiya-751477/
Готовая еда;Бефстроганов ЛЕНТА FRESH с картофельным пюре, 260г;259.99 ₽;https://lenta.com/product/befstroganov-s-kartofelnym-pyure-rossiya-260g-639523/
Готовая еда;Салат с запеченными овощами, весовой;300.00 ₽;https://lenta.com/product/salat-s-zapechennymi-ovoshchami-ves-rossiya-897650/
Готовая еда;Суп РЕСТО ШИК Борщ вегетарианский, 300г;169.99 ₽;https://lenta.com/product/sup-borshch-vegetarianskijj-ohl-rossiya-300g-884081/
Готовая еда;Салат с куриной грудкой ЛЕНТА FRESH, 200г;219.99 ₽;https://lenta.com/product/salat-s-kurinojj-grudkojj-rossiya-200g-734790/
Готовая еда;Салат ЛЕНТА FRESH Винегрет классический, весовой;120.00 ₽;https://lenta.com/product/salat-vinegret-klassicheskijj-ves-rossiya-94700/
Готовая еда;Антипасти BURENKA CLUB Желтый перчик с мягким сыром в масле, 260г;399.99 ₽;https://lenta.com/product/antipasti-zheltyjj-perchik-s-myagkim-syrom-v-masle-rossiya-260g-742406/
Готовая еда;Плов с курицей ЛЕНТА FRESH, 230г;169.99 ₽;https://lenta.com/product/plov-s-kuricejj-rossiya-230g-712466/
Готовая еда;Пирог ЛЕНТА FRESH с луком и яйцом, весовой;274.99 ₽;https://lenta.com/product/pirog-lenta-s-lukom-i-yajjcom-ves-sp-rossiya-181253/
Готовая еда;Сдобный крутень ЛЕНТА FRESH с начинкой фисташка;200.00 ₽;https://lenta.com/product/sdobnyjj-kruten-s-fistashkovojj-nachinkojj-rossiya-533243/
Готовая еда;Напиток Смузи банан-манго безалкогольный ЛЕНТА FRESH, 300мл;127.99 ₽;https://lenta.com/product/napitok-ba-smuzi-banan-mango-rossiya-300ml-744535/
Готовая еда;Суп РЕСТО ШИК Лагман с говядиной, 330г;229.99 ₽;https://lenta.com/product/sup-lagman-s-govyadinojj-rossiya-330g-878947/
