Категория;Наименование;Цена;Ссылка
Овощи и фрукты;Крем-суп Овощной со сливками, 200мл;79.99 ₽;https://lenta.com/product/731357-krem-sup-ovoshchnojj-so-slivkami-200-ml/
Овощи и фрукты;Смесь фруктово-ореховая PREMIUM CLUB К шампанскому, 200г;299.99 ₽;https://lenta.com/product/696795-smes-smes-banka-rossiya-200g/
Овощи и фрукты;Папайя сушеная, весовая;850.00 ₽;https://lenta.com/product/887033-papajjya-sushenaya-ves/
Овощи и фрукты;Капуста китайская/пекинская, весовая;129.99 ₽;https://lenta.com/product/183430-kapusta-kitajjskaya-pekinskaya-ves/
Овощи и фрукты;Груши Вильямс, весовые;125.99 ₽;https://lenta.com/product/44184-grusha-vilyams-ves/
Овощи и фрукты;Чеснок новый урожай, весовой;33.00 ₽;https://lenta.com/product/50739-chesnok-novyjj-urozhajj-ves/
Овощи и фрукты;Грибы АРТФРУТ Шимиджи, 150г;179.99 ₽;https://lenta.com/product/726511-griby-shimidzhi-150g/
Овощи и фрукты;Смесь Студенческая, весовая;100.00 ₽;https://lenta.com/product/65236-smes-studencheskaya-ves/
Овощи и фрукты;Чипсы кокосовые COSTA COCOSTA со вкусом васаби, 40г;79.99 ₽;https://lenta.com/product/722982-chipsy-kokosovye-so-vkusom-vasabi-rossiya-40g/
Овощи и фрукты;Томаты сливовидные ФЛАМЕНКО, 450г;239.99 ₽;https://lenta.com/product/638569-tomaty-slivovidnye-rossiya-450g/
Овощи и фрукты;Стебель сельдерея, шт;109.99 ₽;https://lenta.com/product/26801-stebel-seldereya-1sht/
Овощи и фрукты;Томаты ЛЕНТА FRESH Бакинские, 350г;249.99 ₽;https://lenta.com/product/725599-tomaty-bakinskie-350g/
Овощи и фрукты;Маракуйя желтая, шт;169.99 ₽;https://lenta.com/product/603308-marakujjya-zheltaya-1sht/
Овощи и фрукты;Смесь фруктовая BONVIDA, 500г;429.99 ₽;https://lenta.com/product/730320-smes-fruktovaya-rossiya-500g/
Овощи и фрукты;Яблоки Гольден, весовые;104.99 ₽;https://lenta.com/product/68115-yabloki-golden-ves-1kg/
Овощи и фрукты;Бразильский орех очищенный, весовой;1000.00 ₽;https://lenta.com/product/595878-brazilskijj-oreh-ochishchennyjj-ves/
