Категория;Наименование;Цена;Ссылка
Готовая еда;Салат Винегрет классический ЛЕНТА FRESH, 200г;99.99 ₽;https://lenta.com/product/646216-salat-vinegret-klassicheskijj-rossiya-200g/
Готовая еда;Суп РЕСТО ШИК из печеных томатов с креветками, 270г;262.49 ₽;https://lenta.com/product/896529-sup-iz-pechenyh-tomatov-s-krevetkami-rossiya-270g/
Готовая еда;Плов По-ташкентски, 300г;309.99 ₽;https://lenta.com/product/721586-plov-po-tashkentski-rossiya-300g/
Готовая еда;Пирог ЛЕНТА FRESH Сметанник, 390г;219.99 ₽;https://lenta.com/product/666944-pirog-smetannik-sp-rossiya-390g/
Готовая еда;Сырники ЛЕНТА FRESH Домашние, весовые;160.00 ₽;https://lenta.com/product/360047-syrniki-domashnie-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Сельдь под шубой классический, весовой;150.00 ₽;https://lenta.com/product/11404-salat-seld-pod-shubojj-klassicheskijj-ves-rossiya/
Готовая еда;Пирог ЛЕНТА FRESH с капустой, весовой;274.99 ₽;https://lenta.com/product/141209-pirog-lenta-s-kapustojj-ves-sp-rossiya/
Готовая еда;Удон ЛЕНТА FRESH с креветкой в устричном соусе, 240г;275.39 ₽;https://lenta.com/product/432273-udon-s-krevetkojj-v-ustrichnom-souse-lenta-rossiya-240g/
Готовая еда;Котлеты куриные ЛЕНТА FRESH, 200г;219.99 ₽;https://lenta.com/product/745643-kotlety-kurinye-rossiya-200g/
Готовая еда;Салат ЛЕНТА FRESH Провансаль с томленой говядиной и маринованными огурчиками, весовой;294.00 ₽;https://lenta.com/product/60923-salat-s-tomljnojj-govyadinojj-i-marinovannymi-ogurchikami-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH По-восточному из капусты с куркумой, 200г;104.99 ₽;https://lenta.com/product/524601-salat-kapusta-po-vostochnomu-s-kurkumojj-rossiya-200g/
Готовая еда;Напиток Смузи банан-клубника-базилик безалкогольный, негазированный ЛЕНТА FRESH, 300мл;127.99 ₽;https://lenta.com/product/744534-napitok-ba-negaz-smuzi-banan-klubnika-bazilik-rossiya-300ml/
Готовая еда;Треска ЛЕНТА FRESH с овощами, весовая;360.00 ₽;https://lenta.com/product/377132-treska-s-ovoshchami-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Крабовый, весовой;141.00 ₽;https://lenta.com/product/11296-salat-krabovyjj-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Фреш с куриной грудкой, 150г;189.99 ₽;https://lenta.com/product/686191-salat-fresh-s-kurinojj-grudkojj-rossiya-150g/
Готовая еда;Антипасти BURENKA CLUB Томаты вяленые с мягким сыром в масле, 280г;389.99 ₽;https://lenta.com/product/728825-antipasti-tomaty-vyalenye-s-myagkim-syrom-v-masle-rossiya-280g/
Готовая еда;Салат ЛЕНТА FRESH Свекла с чесноком, весовой;120.00 ₽;https://lenta.com/product/11406-salat-svekla-s-chesnokom-vesovojj-rossiya/
Готовая еда;Филе горбуши под сыром;300.00 ₽;https://lenta.com/product/751477-file-gorbushi-pod-syrom-rossiya/
Готовая еда;Бефстроганов ЛЕНТА FRESH с картофельным пюре, 260г;259.99 ₽;https://lenta.com/product/639523-befstroganov-s-kartofelnym-pyure-rossiya-260g/
Готовая еда;Салат с запеченными овощами, весовой;300.00 ₽;https://lenta.com/product/897650-salat-s-zapechennymi-ovoshchami-ves-rossiya/
Готовая еда;Суп РЕСТО ШИК Борщ вегетарианский, 300г;169.99 ₽;https://lenta.com/product/884081-sup-borshch-vegetarianskijj-ohl-rossiya-300g/
Готовая еда;Салат с куриной грудкой ЛЕНТА FRESH, 200г;219.99 ₽;https://lenta.com/product/734790-salat-s-kurinojj-grudkojj-rossiya-200g/
Готовая еда;Салат ЛЕНТА FRESH Винегрет классический, весовой;120.00 ₽;https://lenta.com/product/94700-salat-vinegret-klassicheskijj-ves-rossiya/
Готовая еда;Антипасти BURENKA CLUB Желтый перчик с мягким сыром в масле, 260г;399.99 ₽;https://lenta.com/product/742406-antipasti-zheltyjj-perchik-s-myagkim-syrom-v-masle-rossiya-260g/
Готовая еда;Плов с курицей ЛЕНТА FRESH, 230г;169.99 ₽;https://lenta.com/product/712466-plov-s-kuricejj-rossiya-230g/
Готовая еда;Пирог ЛЕНТА FRESH с луком и яйцом, весовой;274.99 ₽;https://lenta.com/product/181253-pirog-lenta-s-lukom-i-yajjcom-ves-sp-rossiya/
Готовая еда;Сдобный крутень ЛЕНТА FRESH с начинкой фисташка;200.00 ₽;https://lenta.com/product/533243-sdobnyjj-kruten-s-fistashkovojj-nachinkojj-rossiya/
Готовая еда;Напиток Смузи банан-манго безалкогольный ЛЕНТА FRESH, 300мл;127.99 ₽;https://lenta.com/product/744535-napitok-ba-smuzi-banan-mango-rossiya-300ml/
Готовая еда;Суп РЕСТО ШИК Лагман с говядиной, 330г;229.99 ₽;https://lenta.com/product/878947-sup-lagman-s-govyadinojj-rossiya-330g/
Готовая еда;Цыпленок гриль ЛЕНТА FRESH, весовой;643.49 ₽;https://lenta.com/product/43146-cyplenok-gril-ves-rossiya/
Готовая еда;Блинчики ЛЕНТА FRESH с маслом, весовые;86.00 ₽;https://lenta.com/product/63467-blinchiki-s-maslom-ves-rossiya/
Готовая еда;Брускетта ЛЕНТА FRESH с карбонадом, салями и горчичным соусом, 250г;169.99 ₽;https://lenta.com/product/676768-brusketta-s-karbonatom-salyami-i-gorchichnym-sousom-rossiya-250g/
Готовая еда;Капуста ЛЕНТА FRESH По-восточному с куркумой, весовая;85.50 ₽;https://lenta.com/product/343907-kapusta-po-vostochnomu-s-kurkumojj-sp-ves-rossiya/
Готовая еда;Салат Свекла с чесноком ЛЕНТА FRESH, 200г;109.99 ₽;https://lenta.com/product/734791-salat-svekla-s-chesnokom-rossiya-200g/
Готовая еда;Салат ЛЕНТА FRESH из спаржи с морковью, 200г;149.99 ₽;https://lenta.com/product/524607-salat-iz-sparzhi-s-morkovyu-rossiya-200g/
Готовая еда;Салака жареная;210.00 ₽;https://lenta.com/product/861430-salaka-zharenaya-rossiya/
Готовая еда;Пирог ЛЕНТА FRESH с курицей, весовой;384.99 ₽;https://lenta.com/product/176098-pirog-lenta-s-kuricejj-ves-sp-rossiya/
Готовая еда;Пицца Мясная c халапеньо, 400г;399.99 ₽;https://lenta.com/product/718762-picca-myasnaya-c-halapeno-rossiya-400g/
Готовая еда;Бедра куриные гриль ЛЕНТА FRESH, весовые;274.50 ₽;https://lenta.com/product/61928-bedra-kurinye-gril-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Столичный, 200г;119.99 ₽;https://lenta.com/product/646289-salat-stolichnyjj-rossiya-200g/
Готовая еда;Рис с курицей терияки и брокколи ЛЕНТА FRESH, 250г;169.99 ₽;https://lenta.com/product/654875-ris-s-kuricejj-teriyaki-i-brokkoli-rossiya-250g/
Готовая еда;Жаркое из свинины по-домашнему ЛЕНТА FRESH , 300г;189.99 ₽;https://lenta.com/product/515245-zharkoe-iz-svininy-po-domashnemu-rossiya-300g/
Готовая еда;Суп РЕСТО ШИК Гороховый с копченостями, 300г;129.99 ₽;https://lenta.com/product/866113-sup-gorohovyjj-s-kopchenostyami-rossiya-300g/
Готовая еда;Салат из морской капусты ЛЕНТА FRESH с острой морковью, весовой;81.00 ₽;https://lenta.com/product/458154-salat-iz-morskojj-kapusty-s-ostrojj-morkovyu-sp-ves-rossiya/
Готовая еда;Стрипсы куриные ЛЕНТА FRESH Хрустящие, весовые;330.18 ₽;https://lenta.com/product/258662-stripsy-kurinye-hrustyashchie-ves-rossiya/
Готовая еда;Картошка-лепешка ЛЕНТА FRESH Карбонара, весовая;120.00 ₽;https://lenta.com/product/604666-kartoshka-lepjshka-karbonara-ves-rossiya/
Готовая еда;Филе куриное запеченное с томатами и картофелем Айдахо ЛЕНТА FRESH, 280г;239.99 ₽;https://lenta.com/product/686095-kurinoe-file-zapechennoe-s-tomatami-s-kartofelem-ajjdaho-rossiya-280g/
Готовая еда;Мойва жареная ЛЕНТА FRESH, весовая;219.00 ₽;https://lenta.com/product/87707-gc-mojjva-zharenaya-ves-rossiya/
Готовая еда;Паста карбонара, 250г;219.99 ₽;https://lenta.com/product/712464-pasta-karbonara-rossiya-250g/
Готовая еда;Мясо По-французски с рисом, 250г;169.99 ₽;https://lenta.com/product/712981-myaso-po-francuzski-s-risom-rossiya-250g/
Готовая еда;Картофель ЛЕНТА FRESH Айдахо, весовой;150.00 ₽;https://lenta.com/product/60715-kartofel-ajjdaho-ves-rossiya/
Готовая еда;Антипасти BURENKA CLUB Красный перчик с мягким сыром в масле, 260г;349.99 ₽;https://lenta.com/product/695653-antipasti-krasnyjj-perchik-s-myagkim-syrom-v-masle-rossiya-260g/
Готовая еда;Удон ЛЕНТА FRESH с курицей в соусе терияки, 240г;158.09 ₽;https://lenta.com/product/432271-udon-s-kuricejj-v-souse-teriyaki-lenta-rossiya-240g/
Готовая еда;Курица НАТУРБУФЕТ с рисом и овощами по-тайски, 250г;179.99 ₽;https://lenta.com/product/386441-kurica-s-risom-i-ovoshchami-po-tajjski-rossiya-250g/
Готовая еда;Хот-дог, 180г;129.99 ₽;https://lenta.com/product/717925-hot-dog-rossiya-180g/
Готовая еда;Филе цыпленка ЛЕНТА FRESH в сыре с пастой карбонара, 290г;249.99 ₽;https://lenta.com/product/685946-file-cyplenka-v-syre-s-pastojj-karbonara-rossiya-290g/
Готовая еда;Салат ЛЕНТА FRESH Метелка, весовой;80.00 ₽;https://lenta.com/product/572682-salat-metelka-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Оливье классический, весовой;168.00 ₽;https://lenta.com/product/11556-salat-olive-klassicheskijj-vesovojj-rossiya/
Готовая еда;Макароны НАТУРБУФЕТ По-флотски, 250г;169.99 ₽;https://lenta.com/product/539264-makarony-po-flotski-rossiya-250g/
Готовая еда;Каша рисовая с кокосовым молоком ЛЕНТА FRESH, 300г;94.99 ₽;https://lenta.com/product/709270-kasha-risovaya-s-kokosovym-molokom-rossiya-300g/
Готовая еда;Салат ЛЕНТА FRESH Цезарь, весовой;240.00 ₽;https://lenta.com/product/176802-salat-cezar--ves-rossiya/
Готовая еда;Крылышки куриные гриль ЛЕНТА FRESH по-мексикански, весовые;373.50 ₽;https://lenta.com/product/12830-krylyshki-kurinye-gril-po-meksikanski-ves-rossiya/
Готовая еда;Картофель Айдахо ЛЕНТА FRESH, 200г;149.99 ₽;https://lenta.com/product/736247-kartofel-ajjdaho-rossiya-200g/
Готовая еда;Плов ЛЕНТА FRESH с курицей, весовой;153.00 ₽;https://lenta.com/product/84257-gc-plov-s-kuricejj-ves-rossiya/
Готовая еда;Суп РЕСТО ШИК с куриными фрикадельками и пастой звездочки, 300г;139.99 ₽;https://lenta.com/product/866115-sup-s-kurinymi-frikadelkami-i-pastojj-zvezdochki-rossiya-300g/
Готовая еда;Салат Морковь по-корейски ЛЕНТА FRESH, 200г;99.99 ₽;https://lenta.com/product/524606-salat-morkov-po-korejjski-rossiya-200g/
Готовая еда;Кесадилья с курицей;214.20 ₽;https://lenta.com/product/739426-kesadilya-s-kuricejj-rossiya/
Готовая еда;Котлеты НАТУРБУФЕТ Мясные, 240г;223.99 ₽;https://lenta.com/product/665624-kotlety-myasnye-rossiya-240g/
Готовая еда;Салат ЛЕНТА FRESH Оливье классический, 200г;149.99 ₽;https://lenta.com/product/646288-salat-olive-klassicheskijj-rossiya-200g/
Готовая еда;Сырники с начинкой черная смородина, весовые;135.80 ₽;https://lenta.com/product/695836-syrniki-s-nachinkojj-chernaya-smorodinagc-ves-rossiya/
Готовая еда;Запеканка творожная ЛЕНТА FRESH Забава, весовая;160.00 ₽;https://lenta.com/product/11912-zapekanka-tvorozhnaya-zabava-ves-rossiya/
Готовая еда;Суп РЕСТО ШИК Щи из свежей капусты, 300г;159.99 ₽;https://lenta.com/product/854153-sup-shchi-iz-svezhejj-kapusty-rossiya-300g/
Готовая еда;Салат ЛЕНТА FRESH Столичный, весовой;180.00 ₽;https://lenta.com/product/11557-salat-stolichnyjj-ves-rossiya/
Готовая еда;Антипасти BURENKA CLUB Перчик ассорти с мягким сыром в масле, 260г;349.99 ₽;https://lenta.com/product/742407-antipasti-perchik-assorti-s-myagkim-syrom-v-masle-rossiya-260g/
Готовая еда;Карп жареный ЛЕНТА FRESH с луком и зеленью, весовой;441.00 ₽;https://lenta.com/product/478499-karp-zharenyjj-s-lukom-i-zelenyu-ves-rossiya/
Готовая еда;Сырники ЛЕНТА FRESH с яблочной начинкой, весовые;160.00 ₽;https://lenta.com/product/587286-syrniki-s-yablochnojj-nachinkojj-ves-rossiya/
Готовая еда;Паста Болоньезе ЛЕНТА FRESH, 270г;239.99 ₽;https://lenta.com/product/515248-pasta-boloneze-rossiya-270g/
Готовая еда;Томленая говядина с рассыпчатой гречкой ЛЕНТА FRESH, 270г;239.99 ₽;https://lenta.com/product/515243-tomlenaya-govyadina-s-rassypchatojj-grechkojj-rossiya-270g/
Готовая еда;Салат с кальмаром и крабовыми палочками, весовой;240.00 ₽;https://lenta.com/product/897651-salat-s-kalmarom-i-krabovymi-palochkami-ves-rossiya/
Готовая еда;Компот из сухофруктов ЛЕНТА FRESH, 500мл;101.99 ₽;https://lenta.com/product/744536-kompot-iz-suhofruktov-rossiya-500ml/
Готовая еда;Закуска ЛЕНТА FRESH Курица по-корейски, весовая;299.88 ₽;https://lenta.com/product/349564-zakuska-kurica-po-korejjski-ves-rossiya/
Готовая еда;Каша рисовая молочная, 300г;99.99 ₽;https://lenta.com/product/709164-kasha-risovaya-molochnaya-rossiya-300g/
Готовая еда;Салат ЛЕНТА FRESH Икра сельди с луком, весовой;410.00 ₽;https://lenta.com/product/455214-salat-ikra-seldi-s-lukom-ves-rossiya/
Готовая еда;Картофель отварной ЛЕНТА FRESH с укропом, весовой;102.00 ₽;https://lenta.com/product/89400-kartofel-otvarnojj-s-ukropom-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Оливье без майонеза, весовой;192.78 ₽;https://lenta.com/product/248095-salat-olive-bez-majjoneza-ves-rossiya/
Готовая еда;Суп-крем РЕСТО ШИК с тыквой и индейкой, 270г;159.99 ₽;https://lenta.com/product/866114-sup-krem-s-tykvojj-i-indejjkojj-rossiya-270g/
Готовая еда;Онигири FRESHCLUB Снежный краб с соусом Спайси, 100г;129.99 ₽;https://lenta.com/product/746944-onigiri-snezhnyjj-krab-s-sousom-spajjsi-rossiya-100g/
Готовая еда;Блинчики ЛЕНТА FRESH с ветчиной и сыром, весовые;120.00 ₽;https://lenta.com/product/89406-blinchiki-s-vetchinojj-i-syrom-ves-rossiya/
Готовая еда;Салат ЛЕНТА FRESH Неженка, весовой;137.70 ₽;https://lenta.com/product/149076-salat-nezhenka-ves-rossiya/
Готовая еда;Каша пшенная, 300г;114.99 ₽;https://lenta.com/product/729610-kasha-pshennaya-rossiya-300g/
Готовая еда;Котлета куриная ЛЕНТА FRESH с картофельным пюре и грибным соусом, 300г;199.99 ₽;https://lenta.com/product/685945-kotleta-kurinaya-s-kartofelnym-pyure-i-gribnym-sousom-rossiya-300g/
Готовая еда;Лимонад имбирный ЛЕНТА FRESH, 500мл;109.99 ₽;https://lenta.com/product/743049-limonad-imbirnyjj-rossiya-500ml/
Готовая еда;Картофель жареный ЛЕНТА FRESH с беконом, 300г;169.99 ₽;https://lenta.com/product/515249-kartofel-zharenyjj-s-bekonom-rossiya-300g/
