Категория;Наименование;Цена;Ссылка
Сыры;Продукт рассольный комбинированный СИРТАКИ Original Для греческого салата 55%, 200г;119.99 ₽;https://lenta.com/product/369230-produkt-kombinir-rassol-smesh-sostava-original-55-rossiya-200g/
Сыры;Сыр ЛЕНТА FRESH Лапландский с курагой и изюмом 45%, без змж, 180г;229.99 ₽;https://lenta.com/product/879918-syr-laplandskijj-s-kuragojj-i-izyumom-45-bez-zmzh-rossiya-180g/
Сыры;Сыр мягкий НЕНАШЕВО Камамбер с луком Шалот 55%, без змж, весовой;249.00 ₽;https://lenta.com/product/703250-syr-myagkijj-kamamber-s-lukom-shalot-55-bez-zmzh-ves-rossiya/
Сыры;Продукт плавленый с сыром копченый Лухский 40%, с змж, весовой;108.00 ₽;https://lenta.com/product/703566-produkt-plavlenyjj-s-syrom-luhskijj-kopchenyjj-40-s-zmzh-ves-rossiya/
Сыры;Сыр NATURA Сливочный Легкий 30%, без змж, 400г;369.00 ₽;https://lenta.com/product/680599-syr-slivochnyjj-legkijj-30-bez-zmzh-rossiya-400g/
Сыры;Сыр мягкий SUPREME с белой плесенью 60%, без змж, весовой;477.50 ₽;https://lenta.com/product/559537-syr-myagkijj-s-belojj-plesenyu-60-bez-zmzh-ves-rossiya/
Сыры;Сыр PREMIUM CLUB Маасдам 45%, без змж, весовой;255.00 ₽;https://lenta.com/product/469525-syr-maasdam-45-ves-bez-zmzh-rossiya/
Сыры;Сыр полутвердый VARDEVAAL с козьим молоком 45%, без змж, весовой;507.00 ₽;https://lenta.com/product/768315-syr-ptv-s-kozim-molokom-45-bez-zmzh-ves-rossiya/
Сыры;Продукт белковый РОССОЯ Тофу паприка, 120г;89.99 ₽;https://lenta.com/product/458127-produkt-belkovyjj-tofu-paprika-rossiya-120g/
Сыры;Сыр БЕЛЕБЕЕВСКИЙ Монбри с пажитником 50%, без змж, 125г;229.99 ₽;https://lenta.com/product/792796-syr-monbri-s-pazhitnikom-50-bez-zmzh-rossiya-125g/
Сыры;Сыр плавленый HOCHLAND Чизбургер порционный 45%, ломтики, без змж, 150г;104.99 ₽;https://lenta.com/product/121130-syr-plavlenyjj-chizburger-45-lomtiki-bez-zmzh-rossiya-150g/
Сыры;Сыр ЛЕНТА Российский 45%, без змж, весовой;280.00 ₽;https://lenta.com/product/469638-syr-rossijjskijj-45-bez-zmzh-ves-rossiya/
Сыры;Сыр рассольный NATURA Traditional 35%, без змж, 200г;139.99 ₽;https://lenta.com/product/897445-syr-traditional-rassolnyjj-35-bez-zmzh-rossiya-200g/
Сыры;Сыр OLDENBURGER протеиновый с томатом и базиликом 30%, без змж, 150г;249.99 ₽;https://lenta.com/product/770179-syr-proteinovyjj-s-tomatom-i-bazilikom-30-bez-zmzh-rossiya-150g/
Сыры;Сыр творожный HOCHLAND сливочный 60%, без змж, 220г;169.99 ₽;https://lenta.com/product/346737-syr-tvorozhnyjj-slivochnyjj-60-bez-zmzh-rossiya-220g/
Сыры;Сыр ЛИПИН БОР Манчего дель руссо 50%, 12 месяцев, без змж, 180г;414.99 ₽;https://lenta.com/product/693256-syr-manchego-del-russo-12-mesyacev-50-bez-zmzh-rossiya-180g/
Сыры;Сыр ПОЧИНКИ Сливочный 50%, без змж, весовой;279.00 ₽;https://lenta.com/product/672067-syr-slivochnyjj-50-ves-bez-zmzh-rossiya/
Сыры;Сыр твердый ВЕЛИКИЕ ЛУКИ Parmesan от 3 месяца 40%, без змж, весовой;352.50 ₽;https://lenta.com/product/690189-syr-tverdyjj-parmesan-ot-3-mes-40-ves-bez-zmzh-rossiya/
Сыры;Сыр творожный ЭКОМИЛК 60%, без змж, 350г;204.99 ₽;https://lenta.com/product/736646-syr-tvorozhnyjj-60-bez-zmzh-rossiya-350g/
Сыры;Сыр СЕЛО ЗЕЛЕНОЕ Тильзитер 50%, без змж, 200г;179.99 ₽;https://lenta.com/product/547713-syr-tilziter-50-laminat-bez-zmzh-rossiya-200g/
Сыры;Сыр ЛЕНТА Гауда 45%, без змж, весовой;272.00 ₽;https://lenta.com/product/469640-syr-gauda-45-ves-bez-zmzh-rossiya/
Сыры;"Сыр твердый ЛИПИН БОР Грюйер Старовологодский 50%, 6 месяцев, без змж, 
180г";379.99 ₽;https://lenta.com/product/564891-syr-gryujjer-starovologodskijj-zrelyjj-6-mesyacev-50-bez-zmzh-rossiya-180g/
Сыры;Сыр ДОЛГОЛЕТИЕ Чечил косичка копченый 45%, без змж, 100г;189.99 ₽;https://lenta.com/product/899473-syr-chechil-kosichka-kopchenyjj-45-bez-zmzh-rossiya-100g/
Сыры;Сыр UNAGRANDE Маскарпоне 80% без лактозы, без змж, 250г;349.99 ₽;https://lenta.com/product/694283-syr-maskarpone-bez-laktozy-80-bez-zmzh-rossiya-250g/
Сыры;Сыр твердый PARMENTE 9 месяцев, колотый 40%, без змж, 180г;334.99 ₽;https://lenta.com/product/627055-syr-kolotyjj-tv-9mes-40-bez-zmzh-rossiya-180g/
Сыры;Сыр творожный УМАЛАТ Рбили с травами 60%, без змж, 130г;99.99 ₽;https://lenta.com/product/749437-syr-tvorozhnyjj-rbili-s-travami-60-bez-zmzh-rossiya-130g/
Сыры;Сыр EXCELSIOR Эмменталь 45%, без змж, весовой;360.00 ₽;https://lenta.com/product/710389-syr-emmental-45-bez-zmzh-ves-rossiya/
Сыры;Сыр SANTABENE Маскарпоне 80%, без змж, 500г;499.99 ₽;https://lenta.com/product/373447-syr-maskarpone-80-bez-zmzh-rossiya-500g/
Сыры;Сыр мягкий MARCO PANATTI Рикотта 45%, без змж, 180г;94.99 ₽;https://lenta.com/product/900440-syr-rikotta-45-bez-zmzh-rossiya-180g/
Сыры;Сыр полутвердый LAPLANDIA ProBio+ с пробиотиком 45%, без змж, 180г;234.99 ₽;https://lenta.com/product/736949-syr-probio-ptv-s-probiotikom-45-bez-zmzh-rossiya-180g/
Сыры;Сыр СЫРНАЯ ДОЛИНА Маасдам 45%, без змж, весовой;333.00 ₽;https://lenta.com/product/550627-syr-maasdam-45-bez-zmzh-ves-rossiya/
Сыры;Сыр ГОРОДЕЦКАЯ СЫРОВАРНЯ Бри 50%, без змж, 100г;189.99 ₽;https://lenta.com/product/609249-syr-bri50-bez-zmzh-rossiya-100g/
Сыры;Сыр мягкий CHEESE VOYAGE Бри с белой плесенью 50–60%, без змж, весовой;354.00 ₽;https://lenta.com/product/640175-syr-bri-myagkijj-s-bel-plesenyu-50-60-bzmzh-ves-rossiya/
Сыры;Сыр БОНДЖОРНО Рикотта с кокосом 30%, без змж, 180г;159.99 ₽;https://lenta.com/product/748832-syr-rikotta-s-kokosom-30-bez-zmzh-rossiya-180g/
Сыры;Сыр ЭКОНИВА ДЮРР Целлер 55%, без змж, весовой;507.00 ₽;https://lenta.com/product/717164-syr-dyurr-celler-55-bez-zmzh-ves-rossiya/
Сыры;Сыр полутвердый DONTALER 45%, без змж, весовой;391.50 ₽;https://lenta.com/product/728727-syr-polutverdyjj-dontaler-45-bez-zmzh-ves-rossiya/
Сыры;Сыр мягкий FLE Камамбер с белой плесенью 50%, без змж, 125г;304.99 ₽;https://lenta.com/product/854764-syr-myagkijj-kamamber-s-belojj-plesenyu-50-bez-zmzh-rossiya-125g/
Сыры;Сыр MOLODO BALANCE Сулугуни 40%, без змж, 300г;279.99 ₽;https://lenta.com/product/716575-syr-suluguni-40-bez-zmzh-rossiya-300g/
Сыры;Сыр мягкий ГОРОДЕНЪ Сливочный 55%, без змж, 1,1кг;649.99 ₽;https://lenta.com/product/721174-syr-myagkijj-slivochnyjj-55-bez-zmzh-belarus-11kg/
Сыры;Сыр OLDENBURGER протеиновый 30%, без змж, 150г;239.99 ₽;https://lenta.com/product/770178-syr-proteinovyjj-30-bez-zmzh-rossiya-150g/
Сыры;Сыр ТЫСЯЧА ОЗЕР Домашний 45%, нарезка, без змж, 125г;149.99 ₽;https://lenta.com/product/897945-syr-domashnijj-45-bez-zmzh-rossiya-125g/
Сыры;Сыр ЛАМБЕР 50%, без змж, 230г;319.99 ₽;https://lenta.com/product/299121-syr-500-bez-zmzh-rossiya-230g/
Сыры;Сыр GALBANI Буррата со вкусом Песто 50%, без змж, масса сыра 200г, 500г;399.99 ₽;https://lenta.com/product/667726-syr-burrata-so-vkusom-pesto-50-massa-syra-200g-bez-zmzh-rossiya-500g/
Сыры;Кремчиз на растительной основе SOLIO с авокадо и грецким орехом 20%, 140г;159.99 ₽;https://lenta.com/product/586549-krem-na-rastitelnojj-osnove-s-avokado-i-greckim-orehom-20-rossiya-140g/
Сыры;Сыр мягкий RUBTSOV & CO Блю Крема с голубой плесенью 70%, без змж, 90г;269.99 ₽;https://lenta.com/product/697313-syr-myagkijj-s-golubojj-plesenyu-blyu-krema-70-bez-zmzh-rossiya-90g/
Сыры;Сыр плавленый ВЫБОР СЕМЬИ 45%, без змж, 180г;99.99 ₽;https://lenta.com/product/713210-syr-plavlenyjj45-vannochka-bez-zmzh-rossiya-180g/
Сыры;Сыр SVEZA Моцарелла мини 45%, без змж, масса сыра 100г, 250г;99.99 ₽;https://lenta.com/product/692879-syr-mocarella-mini-45-bez-zmzh-belarus-250g/
Сыры;Сыр ЛИПИН БОР Грюйер молодой 50%, 3 месяца, 180г;274.99 ₽;https://lenta.com/product/694176-syr-gryujjer-mol-3mes-50-rossiya-180g/
Сыры;Крем-сыр ITALIAN SNACK Пармезан с миндалем и хлебными палочками, без змж, 50г;85.99 ₽;https://lenta.com/product/733370-krem-syr-parmezan-s-mindalem-i-hlebnymi-palochkami-bez-zmzh-rossiya-50g/
Сыры;Сыр GRAN RISERVA Пармезан 40%, 18 месяцев, без змж, 180г;439.99 ₽;https://lenta.com/product/588214-syr-parmezan-18-mes-40-bez-zmzh-rossiya-180g/
Сыры;Сыр МЗ ГИАГИНСКИЙ Спагетти 40%, без змж, 80г;139.99 ₽;https://lenta.com/product/564539-syr-spagetti-40-bez-zmzh-rossiya-80g/
Сыры;Сыр плавленый СЫРОБОГАТОВ Альпийское утро 45%, без змж, 400г;229.99 ₽;https://lenta.com/product/719614-syr-plavlenyjj-alpijjskoe-utro-45-bez-zmzh-rossiya-400g/
Сыры;Сыр мягкий SCHONFELD Camembert Gourmet с белой плесенью 55%, без змж, 125г;264.99 ₽;https://lenta.com/product/882396-syr-myagkijj-s-belojj-plesenyu-camembert-gourmet-55-bez-zmzh-rossiya-125g/
Сыры;Сыр плавленый ВЫБОР СЕМЬИ с луком 40%, без змж, 70г;36.99 ₽;https://lenta.com/product/714374-syr-plavlenyjj-s-lukom-40-blochok-bez-zmzh-2140-rossiya-70g/
Сыры;Сыр РАДОСТЬ ВКУСА Большой куш 20%, без змж, 180г;149.99 ₽;https://lenta.com/product/713329-syr-bolshojj-kush-20-bez-zmzh-rossiya-180g/
Сыры;Сыр мягкий UNAGRANDE Creamcheese Сливочный 70%, без змж, 200г;224.99 ₽;https://lenta.com/product/588408-syr-creamcheese-kremchiz-myagkijj-slivochnyjj-70-bez-zmzh-rossiya-200g/
Сыры;Сыр мягкий НЕНАШЕВО Камамбер с петрушкой и чесноком 55%, без змж, весовой;249.00 ₽;https://lenta.com/product/703195-syr-myagkijj-kamamber-s-petrushkojj-i-chesnokom-55-bez-zmzh-ves-rossiya/
Сыры;Сыр плавленый СЫРОБОГАТОВ с ветчиной 50%, без змж, 80г;47.99 ₽;https://lenta.com/product/359129-syr-plavlenyjj-s-vetchinojj-50-bez-zmzh-rossiya-80g/
Сыры;Сыр плавленый PRESIDENT My Cheese Чеддер, для закусок 51%, без змж, 125г;129.99 ₽;https://lenta.com/product/769159-syr-plavlenyjj-dlya-zakusok-chedder-my-cheese-51-bez-zmzh-rossiya-125g/
Сыры;Сыр КИПРИНО Алтареджио Пармезан 9 месяцев 45%, тертый, без змж, 80г;249.99 ₽;https://lenta.com/product/883685-syr-altaredzhio-parmezan-9-mes-45-tertyjj-bez-zmzh-rossiya-80g/
Сыры;Сыр УМАЛАТ Четук 45%, без змж, 280г;329.99 ₽;https://lenta.com/product/737723-syr-chetuk-45-bez-zmzh-rossiya-280g/
Сыры;Сыр ТЫСЯЧА ОЗЕР Сливочный 50%, без змж, 180г;269.99 ₽;https://lenta.com/product/818601-syr-slivochnyjj-50-bez-zmzh-rossiya-180g/
Сыры;Сыр полутвердый БРЕСТ-ЛИТОВСК Маасдам 45%, без змж, 200г;189.99 ₽;https://lenta.com/product/562572-syr-ptv-maasdam-45-bez-zmzh-belarus-200g/
Сыры;Сыр полутвердый БРЕСТ-ЛИТОВСК Сливочный 50%, нарезка, без змж, 130г;159.99 ₽;https://lenta.com/product/743795-syr-polutverdyjj-slivochnyjj-50-bez-zmzh-belarus-130g/
